date,month,week,timeSlot,holiday,rrr,aveSpeed,Cluster
30,11,3,207,0,0,41.55,3
30,11,3,208,0,0,43.53,3
30,11,3,209,0,0,46.33,3
30,11,3,210,0,0,47.26,3
30,11,3,211,0,0,47.44,3
30,11,3,212,0,0,49.86,3
30,11,3,213,0,0,46.69,3
30,11,3,214,0,0,46.31,3
30,11,3,215,0,0,44.8,3
30,11,3,216,0,0,42.1,3
30,11,3,217,0,0,48.53,3
30,11,3,218,0,0,41.77,3
30,11,3,219,0,0,41.78,3
30,11,3,220,0,0,37.36,3
30,11,3,221,0,0,32.34,3
30,11,3,222,0,0,42.74,3
30,11,3,223,0,0,44.09,3
30,11,3,224,0,0,40.49,3
30,11,3,225,0,0,42.82,3
30,11,3,226,0,0,44.85,3
30,11,3,227,0,0,43.77,3
30,11,3,228,0,0,45.34,3
30,11,3,229,0,0,38.86,3
30,11,3,230,0,0,45.36,3
30,11,3,231,0,0,42.15,3
30,11,3,232,0,0,42.29,3
30,11,3,233,0,0,44.07,3
30,11,3,234,0,0,43.54,3
30,11,3,235,0,0,49.84,3
30,11,3,236,0,0,43.65,3
30,11,3,237,0,0,49.05,3
30,11,3,238,0,0,46.2,3
30,11,3,239,0,0,46.11,3
30,11,3,240,0,0,43.3,3
30,11,3,241,0,0,46.42,3
30,11,3,242,0,0,41.79,3
30,11,3,243,0,0,44.09,3
30,11,3,244,0,0,44.47,3
30,11,3,245,0,0,39.82,3
30,11,3,246,0,0,47.14,3
30,11,3,247,0,0,41.99,3
30,11,3,248,0,0,44.33,3
30,11,3,249,0,0,42.06,3
30,11,3,250,0,0,45.66,3
30,11,3,251,0,0,43.29,3
30,11,3,252,0,0,38.65,3
30,11,3,253,0,0,47.11,3
30,11,3,254,0,0,35.96,3
30,11,3,255,0,0,45.61,3
30,11,3,256,0,0,47.77,3
30,11,3,257,0,0,46.17,3
30,11,3,258,0,0,45.21,3
30,11,3,259,0,0,43.82,3
30,11,3,260,0,0,47.87,3
30,11,3,261,0,0,43.91,3
30,11,3,262,0,0,49.26,3
30,11,3,263,0,0,44.96,3
30,11,3,264,0,0,42.44,3
30,11,3,265,0,0,46.67,3
30,11,3,266,0,0,46.05,3
30,11,3,267,0,0,48.4,3
30,11,3,268,0,0,47.14,3
30,11,3,269,0,0,44.32,3
30,11,3,270,0,0,46.58,3
30,11,3,271,0,0,47.61,3
30,11,3,272,0,0,52.67,3
30,11,3,273,0,0,47.83,3
30,11,3,274,0,0,46.27,3
30,11,3,275,0,0,45.91,3
30,11,3,276,0,0,46.67,3
30,11,3,277,0,0,48.74,3
30,11,3,278,0,0,50.93,3
30,11,3,279,0,0,50.58,3
30,11,3,280,0,0,41.76,3
30,11,3,281,0,0,49.06,3
30,11,3,282,0,0,48.63,3
30,11,3,283,0,0,48.76,3
30,11,3,284,0,0,50.81,3
30,11,3,285,0,0,55.79,3
30,11,3,286,0,0,47.99,3
30,11,3,287,0,0,48.97,3
30,11,3,288,0,0,54.49,3
